항공사,출발지공항,스케줄타임
대한항공,시안,202403070920
대한항공,옌지(연길),202403070925
대한항공,보스턴,202403070930
대한항공,디트로이트,202403070935
대한항공,괌,202403070935
대한항공,애틀랜타,202403070935
대한항공,타이베이,202403070940
대한항공,싱가포르,202403070950
대한항공,도쿄/나리타,202403070955
대한항공,뉴욕/존에프케네디,202403071000
대한항공,삿포로,202403071005
대한항공,샤먼,202403071005
대한항공,니가타,202403071005
대한항공,오키나와,202403071010
대한항공,호찌민,202403071015
대한항공,워싱턴,202403071015
대한항공,톈진,202403071015
대한항공,댈러스포트워스,202403071020
대한항공,아오모리,202403071030
대한항공,하노이,202403071035
대한항공,나고야,202403071035
대한항공,시카고/오헤어,202403071040
대한항공,홍콩,202403071040
대한항공,다낭,202403071045
대한항공,하이커우,202403071045
대한항공,오사카/ 간사이,202403071050
대한항공,런던/히드로,202403071055
대한항공,후쿠오카,202403071105
대한항공,타슈켄트,202403071105
대한항공,쿠알라룸푸르,202403071105
대한항공,상하이/푸동,202403071110
대한항공,암스테르담,202403071110
대한항공,다낭,202403071110
대한항공,프랑크푸르트,202403071130
대한항공,덴파사르,202403071135
대한항공,파리/샤를드골,202403071145
대한항공,옌타이,202403071155
대한항공,칭다오,202403071200
대한항공,파리/샤를드골,202403071210
대한항공,상하이/푸동,202403071215
대한항공,가오슝,202403071215
대한항공,델리,202403071220
대한항공,타이베이,202403071225
대한항공,삿포로,202403071230
대한항공,두바이,202403071245
대한항공,부다페스트,202403071245
대한항공,다롄(대련),202403071250
대한항공,상하이/푸동,202403071255
대한항공,마드리드,202403071255
대한항공,삿포로,202403071255
대한항공,칭다오,202403071305
대한항공,후쿠오카,202403071310
대한항공,칭다오,202403071315
대한항공,신 울란바토르,202403071320
대한항공,도쿄/나리타,202403071335
대한항공,오이타,202403071350
대한항공,웨이하이,202403071400
대한항공,로마,202403071405
대한항공,김해,202403071415
대한항공,선양(심양),202403071430
대한항공,로스앤젤레스,202403071430
대한항공,자카르타/수카르노하타,202403071505
대한항공,오사카/ 간사이,202403071510
대한항공,푸꾸옥,202403071545
대한항공,샌프란시스코,202403071600
대한항공,시애틀,202403071600
대한항공,타이베이,202403071615
대한항공,상하이/푸동,202403071620
대한항공,덴파사르,202403071620
대한항공,칭다오,202403071640
대한항공,쿠알라룸푸르,202403071640
대한항공,푸켓,202403071655
대한항공,도쿄/나리타,202403071655
대한항공,방콕/수완나품,202403071710
대한항공,김해,202403071715
